#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 01 28 19 00 320  5.7  7.2    MM    MM    MM  MM 1031.4   9.4  14.3    MM   MM -0.9    MM
2022 01 28 18 54 310  6.2  7.7    MM    MM    MM  MM 1031.5   9.5  14.7    MM   MM   MM    MM
2022 01 28 18 48 320  5.7  7.2    MM    MM    MM  MM 1031.6   9.4  14.7    MM   MM   MM    MM
2022 01 28 18 42 320  6.7  7.7    MM    MM    MM  MM 1031.6   9.3  14.7    MM   MM   MM    MM
2022 01 28 18 36 320  6.7  7.7    MM    MM    MM  MM 1031.6   9.2  14.7    MM   MM   MM    MM
2022 01 28 18 30 310  6.7  8.8    MM    MM    MM  MM 1031.9   9.1  14.4    MM   MM   MM    MM
2022 01 28 18 24 310  6.2  8.2    MM    MM    MM  MM 1031.9   9.1  14.3    MM   MM   MM    MM
2022 01 28 18 18 310  6.7  7.7    MM    MM    MM  MM 1031.8   9.1  13.8    MM   MM   MM    MM
2022 01 28 18 12 310  7.2  8.2    MM    MM    MM  MM 1031.9   9.1  13.6    MM   MM   MM    MM
2022 01 28 18 06 330  6.7  8.2    MM    MM    MM  MM 1032.0   9.3  13.7    MM   MM   MM    MM
2022 01 28 18 00 320  7.7  8.8    MM    MM    MM  MM 1031.9   9.2  13.8    MM   MM +0.0    MM
2022 01 28 17 54 330  7.2  8.2    MM    MM    MM  MM 1032.1   9.3  13.8    MM   MM   MM    MM
2022 01 28 17 48 330  7.7  8.8    MM    MM    MM  MM 1032.1   9.2  13.7    MM   MM   MM    MM
2022 01 28 17 42 330  7.7  8.8    MM    MM    MM  MM 1032.2   9.2  14.0    MM   MM   MM    MM
2022 01 28 17 36 340  7.2  9.3    MM    MM    MM  MM 1032.3   9.2  13.8    MM   MM   MM    MM
2022 01 28 17 30 330  7.7  9.3    MM    MM    MM  MM 1032.5   9.2  13.9    MM   MM   MM    MM
2022 01 28 17 24 330  8.8  9.8    MM    MM    MM  MM 1032.6   9.1  14.0    MM   MM   MM    MM
2022 01 28 17 12 330  8.2 11.3    MM    MM    MM  MM 1032.6   9.2  13.9    MM   MM   MM    MM
2022 01 28 17 06 330  8.8 10.3    MM    MM    MM  MM 1032.7   9.2  14.0    MM   MM   MM    MM
2022 01 28 17 00 320  8.2 10.3    MM    MM    MM  MM 1032.8   9.3  13.9    MM   MM +2.4    MM
2022 01 28 16 54 330  9.3 10.8    MM    MM    MM  MM 1032.8   9.3  14.0    MM   MM   MM    MM
2022 01 28 16 48 320  9.3 10.3    MM    MM    MM  MM 1032.7   9.2  14.0    MM   MM   MM    MM
2022 01 28 16 42 330  8.8 10.3    MM    MM    MM  MM 1032.6   9.2  13.9    MM   MM   MM    MM
2022 01 28 16 36 330  9.3 11.8    MM    MM    MM  MM 1032.7   9.1  14.0    MM   MM   MM    MM
2022 01 28 16 30 330 10.3 11.3    MM    MM    MM  MM 1032.7   9.2  14.0    MM   MM   MM    MM
2022 01 28 16 24 330  9.3 10.3    MM    MM    MM  MM 1032.7   9.3  14.0    MM   MM   MM    MM
2022 01 28 16 18 320  8.8 10.3    MM    MM    MM  MM 1032.6   9.2  14.0    MM   MM   MM    MM
2022 01 28 16 12 320  9.3 11.8    MM    MM    MM  MM 1032.6   9.3  14.0    MM   MM   MM    MM
2022 01 28 16 06 320  9.8 12.4    MM    MM    MM  MM 1032.4   9.1  14.0    MM   MM   MM    MM
2022 01 28 16 00 320 10.3 12.4    MM    MM    MM  MM 1032.3   9.3  14.0    MM   MM +2.9    MM
2022 01 28 15 54 320 10.8 12.9    MM    MM    MM  MM 1032.1   9.3  14.0    MM   MM   MM    MM
2022 01 28 15 48 320  9.8 12.4    MM    MM    MM  MM 1032.4   9.3  14.1    MM   MM   MM    MM
2022 01 28 15 42 320  9.8 12.4    MM    MM    MM  MM 1032.2   9.2  14.0    MM   MM   MM    MM
2022 01 28 15 36 310  9.3 10.8    MM    MM    MM  MM 1032.2   9.1  14.1    MM   MM   MM    MM
2022 01 28 15 30 310  8.8 10.3    MM    MM    MM  MM 1032.1   9.1  14.0    MM   MM   MM    MM
2022 01 28 15 24 310  9.3 10.8    MM    MM    MM  MM 1032.2   9.1  14.0    MM   MM   MM    MM
2022 01 28 15 18 320  9.8 11.3    MM    MM    MM  MM 1032.2   9.4  14.1    MM   MM   MM    MM
2022 01 28 15 12 320  9.8 11.3    MM    MM    MM  MM 1032.1   9.4  14.2    MM   MM   MM    MM
