#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 12 21 01 15  60 11.8 14.4    MM    MM    MM  MM     MM    18    MM    14  8.7   MM    MM
2021 12 21 00 55  60 12.4 14.9    MM    MM    MM  MM     MM    17    MM    14  8.7   MM    MM
2021 12 21 00 35  60 13.4   MM    MM    MM    MM  MM     MM    17    MM    13  2.6   MM    MM
2021 12 21 00 15  50 10.8   MM    MM    MM    MM  MM     MM    17    MM    14  8.7   MM    MM
2021 12 20 23 55  60 12.4   MM    MM    MM    MM  MM     MM    17    MM    13  8.7   MM    MM
2021 12 20 23 35  50  8.8 12.4    MM    MM    MM  MM     MM    17    MM    14  4.3   MM    MM
2021 12 20 23 15  50  8.8 12.4    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 22 55  60 11.8   MM    MM    MM    MM  MM     MM    16    MM    12  2.6   MM    MM
2021 12 20 22 35  60 10.3   MM    MM    MM    MM  MM     MM    16    MM    13  2.2   MM    MM
2021 12 20 22 15  70 10.8   MM    MM    MM    MM  MM     MM    16    MM    13  2.2   MM    MM
2021 12 20 21 55  60  9.8   MM    MM    MM    MM  MM     MM    16    MM    13  1.7   MM    MM
2021 12 20 21 35  50  7.7 12.4    MM    MM    MM  MM     MM    16    MM    13  2.6   MM    MM
2021 12 20 21 15  40  6.7 11.8    MM    MM    MM  MM     MM    16    MM    13  2.6   MM    MM
2021 12 20 20 55  40  5.7 11.3    MM    MM    MM  MM     MM    16    MM    12  7.0   MM    MM
2021 12 20 20 35  30  6.7 11.3    MM    MM    MM  MM     MM    16    MM    13  1.7   MM    MM
2021 12 20 20 15  50  6.7 10.3    MM    MM    MM  MM     MM    16    MM    13  3.5   MM    MM
2021 12 20 19 55  30  6.7 11.8    MM    MM    MM  MM     MM    16    MM    13  6.1   MM    MM
