#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 01 28 07 35 330  6.7   MM    MM    MM    MM  MM     MM    14    MM     6  8.7   MM    MM
2022 01 28 07 15 330  8.2   MM    MM    MM    MM  MM     MM    14    MM     4  8.7   MM    MM
2022 01 28 06 55 340  7.7   MM    MM    MM    MM  MM     MM    14    MM     5  8.7   MM    MM
2022 01 28 06 35 330  7.7   MM    MM    MM    MM  MM     MM    15    MM     5  8.7   MM    MM
2022 01 28 06 15 330  7.7   MM    MM    MM    MM  MM     MM    15    MM     8  8.7   MM    MM
2022 01 28 05 55 330  5.1   MM    MM    MM    MM  MM     MM    16    MM     9  8.7   MM    MM
2022 01 28 05 35 340  4.1   MM    MM    MM    MM  MM     MM    16    MM     9  8.7   MM    MM
2022 01 28 05 15 340  4.6   MM    MM    MM    MM  MM     MM    16    MM     9  8.7   MM    MM
2022 01 28 04 55 360  4.1   MM    MM    MM    MM  MM     MM    16    MM     9  8.7   MM    MM
2022 01 28 04 35  10  4.1   MM    MM    MM    MM  MM     MM    16    MM     9  8.7   MM    MM
2022 01 28 04 15 360  3.1   MM    MM    MM    MM  MM     MM    16    MM    10  8.7   MM    MM
2022 01 28 03 55  20  3.6   MM    MM    MM    MM  MM     MM    16    MM    10  8.7   MM    MM
2022 01 28 03 35  20  4.1   MM    MM    MM    MM  MM     MM    16    MM    10  8.7   MM    MM
2022 01 28 03 10  40  4.6   MM    MM    MM    MM  MM     MM    16    MM    10  8.7   MM    MM
2022 01 28 02 55  30  5.1   MM    MM    MM    MM  MM     MM    16    MM    10  8.7   MM    MM
2022 01 28 02 35  40  5.7   MM    MM    MM    MM  MM     MM    16    MM    10  8.7   MM    MM
2022 01 28 02 15  20  5.1   MM    MM    MM    MM  MM     MM    16    MM    10  8.7   MM    MM
2022 01 28 01 55  30  4.1   MM    MM    MM    MM  MM     MM    16    MM    11  8.7   MM    MM
2022 01 28 01 35  30  4.6   MM    MM    MM    MM  MM     MM    16    MM    11  8.7   MM    MM
2022 01 28 01 15  40  2.6   MM    MM    MM    MM  MM     MM    16    MM    11  8.7   MM    MM
2022 01 28 00 55  40  3.6   MM    MM    MM    MM  MM     MM    16    MM    11  8.7   MM    MM
2022 01 28 00 35  40  4.6   MM    MM    MM    MM  MM     MM    16    MM    11  8.7   MM    MM
2022 01 28 00 15  70  4.1   MM    MM    MM    MM  MM     MM    16    MM    11  8.7   MM    MM
2022 01 27 23 55  60  3.6   MM    MM    MM    MM  MM     MM    16    MM    11  8.7   MM    MM
2022 01 27 23 35  MM  2.6  6.2    MM    MM    MM  MM     MM    16    MM    10  7.8   MM    MM
2022 01 27 23 15  70  4.6   MM    MM    MM    MM  MM     MM    16    MM    10  6.1   MM    MM
2022 01 27 22 55  70  4.6   MM    MM    MM    MM  MM     MM    17    MM    10  8.7   MM    MM
2022 01 27 22 35  60  5.7   MM    MM    MM    MM  MM     MM    17    MM    10  8.7   MM    MM
2022 01 27 22 15  70  6.2   MM    MM    MM    MM  MM     MM    17    MM     9  8.7   MM    MM
2022 01 27 21 55  60  4.6   MM    MM    MM    MM  MM     MM    17    MM     9  8.7   MM    MM
2022 01 27 21 30  50  3.1   MM    MM    MM    MM  MM     MM    17    MM     8  8.7   MM    MM
2022 01 27 21 15  50  4.1   MM    MM    MM    MM  MM     MM    17    MM     9  8.7   MM    MM
2022 01 27 20 55  60  3.1   MM    MM    MM    MM  MM     MM    17    MM     8  8.7   MM    MM
2022 01 27 20 35  60  4.6   MM    MM    MM    MM  MM     MM    17    MM    10  8.7   MM    MM
2022 01 27 20 10  70  3.6   MM    MM    MM    MM  MM     MM    16    MM    11  8.7   MM    MM
2022 01 27 19 55  MM  2.1  5.1    MM    MM    MM  MM     MM    17    MM    11  8.7   MM    MM
2022 01 27 19 35  70  4.1   MM    MM    MM    MM  MM     MM    17    MM    12  8.7   MM    MM
2022 01 27 19 15  80  3.6   MM    MM    MM    MM  MM     MM    17    MM    12  8.7   MM    MM
2022 01 27 18 55  80  3.6   MM    MM    MM    MM  MM     MM    16    MM    12  8.7   MM    MM
2022 01 27 18 35  MM  3.1  6.2    MM    MM    MM  MM     MM    16    MM    12  8.7   MM    MM
2022 01 27 18 15  80  4.6   MM    MM    MM    MM  MM     MM    16    MM    11  8.7   MM    MM
2022 01 27 17 55  80  5.7   MM    MM    MM    MM  MM     MM    16    MM    11  8.7   MM    MM
2022 01 27 17 35  70  7.7   MM    MM    MM    MM  MM     MM    15    MM    11  8.7   MM    MM
2022 01 27 17 15  80  6.7   MM    MM    MM    MM  MM     MM    15    MM    11  8.7   MM    MM
2022 01 27 16 55  80  7.7   MM    MM    MM    MM  MM     MM    15    MM    11  8.7   MM    MM
2022 01 27 16 35  70  8.2   MM    MM    MM    MM  MM     MM    15    MM    10  8.7   MM    MM
2022 01 27 16 15  70  7.2   MM    MM    MM    MM  MM     MM    15    MM    10  8.7   MM    MM
2022 01 27 15 50  70  6.2   MM    MM    MM    MM  MM     MM    15    MM    10  8.7   MM    MM
2022 01 27 15 35  80  5.7   MM    MM    MM    MM  MM     MM    15    MM    10  8.7   MM    MM
2022 01 27 15 15  70  6.2   MM    MM    MM    MM  MM     MM    15    MM    10  8.7   MM    MM
2022 01 27 14 55  70  6.2   MM    MM    MM    MM  MM     MM    15    MM     9  8.7   MM    MM
2022 01 27 14 35  70  6.7   MM    MM    MM    MM  MM     MM    15    MM     9  8.7   MM    MM
2022 01 27 14 15  70  6.2   MM    MM    MM    MM  MM     MM    15    MM     9  8.7   MM    MM
2022 01 27 13 55  70  6.7   MM    MM    MM    MM  MM     MM    15    MM     9  8.7   MM    MM
2022 01 27 13 35  70  6.2  9.3    MM    MM    MM  MM     MM    14    MM     9  8.7   MM    MM
2022 01 27 13 15  70  6.7   MM    MM    MM    MM  MM     MM    14    MM     9  8.7   MM    MM
2022 01 27 12 55  70  6.2   MM    MM    MM    MM  MM     MM    14    MM     8  8.7   MM    MM
2022 01 27 12 35  60  7.2   MM    MM    MM    MM  MM     MM    14    MM     9  8.7   MM    MM
2022 01 27 12 15  70  6.2   MM    MM    MM    MM  MM     MM    14    MM     8  8.7   MM    MM
2022 01 27 11 55  70  6.2   MM    MM    MM    MM  MM     MM    14    MM     8  8.7   MM    MM
2022 01 27 11 35  70  6.7   MM    MM    MM    MM  MM     MM    14    MM     8  8.7   MM    MM
2022 01 27 11 15  70  7.2   MM    MM    MM    MM  MM     MM    14    MM     8  8.7   MM    MM
